                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5821,                 3.2164,                 4.8097,                 1.0513,                0.00287,                0.86047,                 0.0059,                0.00251,                0.00287,                0.86047,                0.00608,                 0.0028,                 1.5769,                 2.3736,                 4.8536,                 1.1595,                0.00012,                0.00012,                0.00012
                      2,                 1.4253,                 2.4874,                 4.2033,                 1.0471,                0.00333,                      1,                0.03334,                0.00735,                0.00333,                      1,                0.03391,                0.01165,                 1.3418,                 1.9648,                 4.4962,                0.98398,             0.00025142,             0.00025142,             0.00025142
                      3,                 1.5016,                 2.0225,                 3.3516,                 1.0105,                0.00333,                      1,                0.04622,                0.00731,                0.00333,                      1,                0.10399,                0.03291,                 1.3853,                 1.7862,                 4.3463,                 1.0197,              0.0003736,              0.0003736,              0.0003736
                      4,                 1.4286,                 1.8356,                 2.9616,                 0.9896,                0.00333,                      1,                0.00779,                0.00322,                0.00333,                      1,                0.01227,                0.00529,                 1.2755,                 1.9469,                 4.3334,                 1.0563,             0.00048654,             0.00048654,             0.00048654
                      5,                  1.166,                 1.5181,                 3.1252,                 0.9014,                0.00333,                      1,                 0.0051,                0.00242,                0.00333,                      1,                0.00513,                0.00257,                  1.241,                 1.8901,                 4.5993,                 1.0554,             0.00059024,             0.00059024,             0.00059024
                      6,                 1.1928,                 1.7603,                 2.7654,                 1.0783,                0.00326,                0.97674,                 0.0042,                0.00229,                0.00326,                0.97674,                 0.0042,                0.00223,                 1.3475,                 1.8594,                 5.0855,                 1.1377,              0.0006847,              0.0006847,              0.0006847
                      7,                 1.2279,                 1.7622,                 1.9874,                  1.034,                 0.0031,                0.93023,                0.00436,                0.00261,                0.00318,                0.95349,                0.00448,                0.00232,                 1.3406,                 1.8361,                 5.4607,                 1.1633,             0.00076992,             0.00076992,             0.00076992
                      8,                 1.3691,                  1.919,                 2.2509,                 1.0822,                 0.0024,                0.72093,                0.00249,                0.00141,                0.00248,                0.74419,                0.00265,                 0.0013,                 1.3364,                 1.7931,                 4.7589,                 1.1341,              0.0008459,              0.0008459,              0.0008459
                      9,                 1.2184,                 1.6377,                 2.5539,                0.92516,                 0.0031,                0.93023,                0.00363,                0.00187,                 0.0031,                0.93023,                0.00363,                0.00192,                 1.4608,                 1.7512,                 4.3004,                 1.2153,             0.00091264,             0.00091264,             0.00091264
                     10,                 1.2692,                 1.5764,                 1.8057,                0.99684,                0.00333,                      1,                0.03513,                0.01678,                0.00333,                      1,                0.03516,                0.01725,                 1.5312,                 1.7804,                 4.1686,                 1.2641,             0.00097014,             0.00097014,             0.00097014
                     11,                 1.2249,                 1.6701,                 2.5783,                0.91359,                0.00333,                      1,                0.78335,                0.43579,                0.00333,                      1,                0.78395,                0.37686,                   1.45,                 1.7719,                 3.5597,                 1.2253,              0.0010184,              0.0010184,              0.0010184
                     12,                 1.1529,                 1.5534,                 2.4135,                0.84712,                0.00333,                      1,                0.67471,                0.37287,                0.00333,                      1,                0.67503,                0.37193,                 1.4225,                 1.6852,                 3.6092,                 1.2149,              0.0010574,              0.0010574,              0.0010574
                     13,                  1.445,                 1.6643,                 2.3424,                 1.1814,                0.46794,                0.48837,                0.46299,                 0.2732,                0.46794,                0.48837,                0.46299,                0.24316,                 1.4116,                 1.7332,                 3.1872,                 1.2204,              0.0010872,              0.0010872,              0.0010872
                     14,                 1.4304,                 1.6589,                 1.9543,                 1.1596,                0.46794,                0.48837,                0.46299,                 0.2732,                0.46794,                0.48837,                0.46299,                0.24316,                 1.4116,                 1.7332,                 3.1872,                 1.2204,              0.0011077,              0.0011077,              0.0011077
                     15,                 1.1854,                 1.5205,                  2.311,                0.89691,                0.51642,                0.86929,                0.52829,                0.30136,                0.51642,                0.86929,                0.52829,                0.24868,                 1.4594,                 1.7048,                 2.6971,                 1.2279,               0.001076,               0.001076,               0.001076
                     16,                 1.4242,                 1.7866,                 2.0497,                 1.0735,                0.68532,                0.96239,                0.79296,                0.46913,                0.68532,                0.96239,                0.79296,                0.39325,                 1.4673,                 1.6637,                 2.4394,                 1.2279,               0.001076,               0.001076,               0.001076
                     17,                 1.4157,                 1.6266,                  2.055,                 1.1273,                0.93368,                0.98231,                0.95468,                 0.5853,                0.93368,                0.98231,                0.95468,                0.48519,                 1.4132,                 1.6977,                 2.4181,                 1.2016,                0.00101,                0.00101,                0.00101
                     18,                 1.2666,                 1.5626,                 1.8468,                 1.0521,                0.92449,                0.97674,                0.95133,                 0.5799,                0.92449,                0.97674,                0.95133,                0.49391,                 1.3726,                 1.7636,                 2.3242,                  1.189,               0.000944,               0.000944,               0.000944
                     19,                  1.248,                 1.7313,                 1.7485,                 1.0063,                0.93464,                0.99773,                0.95439,                 0.5848,                0.93464,                0.99773,                0.95439,                 0.4878,                 1.3513,                 1.7334,                 2.1869,                 1.1736,               0.000878,               0.000878,               0.000878
                     20,                 1.2341,                 1.5436,                  1.826,                 1.0035,                0.53395,                0.90698,                0.53314,                0.33002,                0.53395,                0.90698,                0.53314,                0.25136,                 1.3369,                 1.7703,                  2.312,                 1.1568,               0.000812,               0.000812,               0.000812
                     21,                 1.1805,                 1.6597,                 2.1959,                 1.0072,                0.43114,                0.88372,                 0.4359,                0.27294,                0.43114,                0.88372,                 0.4359,                0.19562,                 1.3226,                 1.8003,                 2.2792,                 1.1345,               0.000746,               0.000746,               0.000746
                     22,                 1.1635,                 1.6928,                 1.9839,                 1.0216,                0.43114,                0.88372,                 0.4359,                0.27294,                0.43114,                0.88372,                 0.4359,                0.19562,                 1.3226,                 1.8003,                 2.2792,                 1.1345,                0.00068,                0.00068,                0.00068
                     23,                 1.1749,                 1.5916,                  2.145,                0.99459,                0.69688,                0.88372,                0.77265,                0.47793,                0.69688,                0.88372,                0.77265,                0.36295,                 1.3385,                 1.8636,                 1.9565,                 1.1352,               0.000614,               0.000614,               0.000614
                     24,                 1.2379,                 1.7281,                 2.1939,                 1.0383,                0.94986,                0.86047,                0.95624,                0.59437,                0.94986,                0.86047,                0.95624,                0.47101,                 1.3542,                 1.8999,                 1.8735,                 1.1445,               0.000548,               0.000548,               0.000548
                     25,                  1.247,                 1.6011,                 2.1811,                 1.0156,                0.93159,                0.95017,                0.96407,                0.59305,                0.93159,                0.95017,                0.96407,                0.45049,                  1.349,                 1.8513,                  1.858,                 1.1425,               0.000482,               0.000482,               0.000482
                     26,                  1.147,                 1.7394,                  1.931,                0.97292,                0.93175,                0.95244,                0.96416,                0.60228,                0.93175,                0.95244,                0.96416,                 0.4689,                  1.332,                 1.8147,                 1.8046,                 1.1325,               0.000416,               0.000416,               0.000416
                     27,                 1.0769,                 1.5807,                 1.8994,                 1.0439,                0.93301,                0.97177,                0.96513,                0.59572,                0.93301,                0.97177,                0.96513,                0.47661,                 1.3252,                 1.8004,                 1.7555,                 1.1255,                0.00035,                0.00035,                0.00035
                     28,                  1.271,                 1.6404,                 1.9253,                 1.0308,                0.93023,                0.97674,                0.96671,                0.59337,                0.93023,                0.97674,                0.96671,                0.47692,                 1.3282,                 1.7964,                 1.6927,                  1.122,               0.000284,               0.000284,               0.000284
                     29,                  1.208,                 1.6313,                 1.7812,                  1.065,                0.92925,                0.97674,                0.96574,                0.59152,                0.92925,                0.97674,                0.96574,                0.48023,                 1.3197,                 1.7732,                 1.6695,                 1.1199,               0.000218,               0.000218,               0.000218
                     30,                 1.1415,                 1.6466,                 1.7772,                0.99667,                0.92925,                0.97674,                0.96574,                0.59152,                0.92925,                0.97674,                0.96574,                0.48023,                 1.3197,                 1.7732,                 1.6695,                 1.1199,               0.000152,               0.000152,               0.000152
