                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.46755,                0.37166,                0.68079,                0.82959,                0.98298,                      1,                  0.995,                0.88205,                0.98298,                      1,                  0.995,                 0.9159,                0.45661,                0.55409,                 1.3553,                0.81033,             0.00059192,             0.00059192,             0.00059192
                     26,                0.48105,                0.37564,                0.65208,                0.81512,                0.98298,                      1,                  0.995,                0.88205,                0.98298,                      1,                  0.995,                 0.9159,                0.45661,                0.55409,                 1.3553,                0.81033,             0.00059925,             0.00059925,             0.00059925
                     27,                0.48131,                0.39021,                0.63601,                 0.8203,                0.97996,                      1,                  0.995,                0.89451,                0.97996,                      1,                  0.995,                0.93001,                0.42676,                0.44558,                 1.3264,                0.79684,             0.00060526,             0.00060526,             0.00060526
                     28,                0.44515,                0.35693,                0.62286,                0.80704,                0.97996,                      1,                  0.995,                0.89451,                0.97996,                      1,                  0.995,                0.93001,                0.42676,                0.44558,                 1.3264,                0.79684,             0.00060995,             0.00060995,             0.00060995
                     29,                0.45204,                0.38302,                0.63763,                0.80586,                0.98397,                      1,                  0.995,                0.88967,                0.98397,                      1,                  0.995,                0.91736,                0.47175,                0.47387,                 1.2957,                0.79169,             0.00061332,             0.00061332,             0.00061332
                     30,                0.46821,                0.35965,                0.62242,                0.83328,                0.98397,                      1,                  0.995,                0.88967,                0.98397,                      1,                  0.995,                0.91736,                0.47175,                0.47387,                 1.2957,                0.79169,             0.00061537,             0.00061537,             0.00061537
                     31,                0.46061,                 0.4199,                0.61502,                0.82706,                0.98806,                      1,                  0.995,                 0.8987,                0.98806,                      1,                  0.995,                 0.9296,                 0.4575,                0.56241,                 1.2495,                0.78846,              0.0006161,              0.0006161,              0.0006161
                     32,                0.46689,                0.34678,                0.63722,                0.83008,                0.98806,                      1,                  0.995,                 0.8987,                0.98806,                      1,                  0.995,                 0.9296,                 0.4575,                0.56241,                 1.2495,                0.78846,             0.00061551,             0.00061551,             0.00061551
                     33,                0.43779,                0.37096,                 0.5989,                0.81916,                0.98806,                      1,                  0.995,                 0.8987,                0.98806,                      1,                  0.995,                 0.9296,                 0.4575,                0.56241,                 1.2495,                0.78846,              0.0006136,              0.0006136,              0.0006136
                     34,                0.46155,                0.39814,                0.61469,                0.83337,                0.99351,                      1,                  0.995,                0.92736,                0.99351,                      1,                  0.995,                0.93033,                0.46688,                0.53098,                 1.1419,                0.78777,             0.00061037,             0.00061037,             0.00061037
                     35,                0.41655,                0.33389,                0.68524,                0.83131,                0.99351,                      1,                  0.995,                0.92736,                0.99351,                      1,                  0.995,                0.93033,                0.46688,                0.53098,                 1.1419,                0.78777,             0.00060582,             0.00060582,             0.00060582
                     36,                0.45302,                0.30862,                 0.6101,                0.82487,                0.99537,                      1,                  0.995,                0.91033,                0.99537,                      1,                  0.995,                0.95373,                0.45525,                0.42548,                 1.0186,                0.79359,             0.00059995,             0.00059995,             0.00059995
                     37,                0.40177,                 0.3705,                0.57098,                0.81783,                0.99537,                      1,                  0.995,                0.91033,                0.99537,                      1,                  0.995,                0.95373,                0.45525,                0.42548,                 1.0186,                0.79359,             0.00059276,             0.00059276,             0.00059276
                     38,                0.38591,                0.33979,                0.54792,                0.81625,                0.99537,                      1,                  0.995,                0.91033,                0.99537,                      1,                  0.995,                0.95373,                0.45525,                0.42548,                 1.0186,                0.79359,             0.00058425,             0.00058425,             0.00058425
                     39,                0.41656,                 0.3764,                0.59751,                0.82207,                0.99709,                      1,                  0.995,                0.93044,                0.99709,                      1,                  0.995,                0.95015,                0.40769,                0.40178,                0.86433,                0.78694,             0.00057442,             0.00057442,             0.00057442
                     40,                0.40048,                0.39986,                0.57499,                0.82461,                0.99709,                      1,                  0.995,                0.93044,                0.99709,                      1,                  0.995,                0.95015,                0.40769,                0.40178,                0.86433,                0.78694,             0.00056327,             0.00056327,             0.00056327
                     41,                0.40071,                0.45179,                0.57932,                0.80883,                0.99701,                      1,                  0.995,                0.93614,                0.99701,                      1,                  0.995,                0.97329,                0.40422,                 0.3756,                0.75471,                0.78793,              0.0005508,              0.0005508,              0.0005508
                     42,                0.43465,                0.35956,                0.59332,                0.83141,                0.99701,                      1,                  0.995,                0.93614,                0.99701,                      1,                  0.995,                0.97329,                0.40422,                 0.3756,                0.75471,                0.78793,             0.00053701,             0.00053701,             0.00053701
                     43,                0.41106,                0.35154,                0.56249,                0.81842,                0.99701,                      1,                  0.995,                0.93614,                0.99701,                      1,                  0.995,                0.97329,                0.40422,                 0.3756,                0.75471,                0.78793,              0.0005219,              0.0005219,              0.0005219
