                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75308,                 1.3478,                 3.3061,                0.90824,                0.03141,                      1,                0.05535,                0.04751,                0.03141,                      1,                0.05564,                0.04797,                0.45004,                0.89222,                 3.3224,                0.84211,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                0.74054,                 1.2486,                 3.2961,                0.87926,                0.03159,                      1,                0.05813,                 0.0515,                0.03159,                      1,                0.05813,                0.05105,                0.41422,                0.82457,                 3.3142,                0.83152,              4.836e-05,              4.836e-05,              4.836e-05
                      3,                0.66619,                 1.1134,                 3.1088,                0.88922,                0.03219,                      1,                0.10564,                0.08294,                0.03219,                      1,                0.11925,                0.09225,                0.42862,                0.76703,                 3.2891,                0.83472,             7.7849e-05,             7.7849e-05,             7.7849e-05
                      4,                0.66013,                0.87039,                 2.7673,                0.86881,                0.03381,                      1,                0.71801,                0.63281,                0.03381,                      1,                0.72374,                0.62404,                0.46815,                0.73959,                 3.0608,                0.80773,             0.00010514,             0.00010514,             0.00010514
                      5,                 0.6908,                0.90885,                 2.5084,                0.86467,                0.03571,                      1,                0.95077,                0.84252,                0.03571,                      1,                0.95077,                0.82679,                0.50816,                0.74048,                 2.8296,                0.80259,             0.00013023,             0.00013023,             0.00013023
                      6,                0.59808,                0.79241,                 2.1712,                0.84946,                0.03877,                      1,                0.99277,                0.86824,                0.03877,                      1,                0.99277,                 0.8596,                0.56393,                0.74068,                 2.6906,                0.79591,             0.00015311,             0.00015311,             0.00015311
                      7,                0.62782,                0.70753,                 1.9441,                0.82097,                0.04343,                      1,                0.99455,                0.86167,                0.04343,                      1,                0.99455,                0.86363,                0.56162,                0.74129,                 2.5407,                0.79325,              0.0001738,              0.0001738,              0.0001738
                      8,                 0.6218,                0.73493,                  1.534,                0.85104,                0.88395,                      1,                  0.995,                0.84762,                0.88395,                      1,                  0.995,                0.87289,                 0.6124,                0.76772,                 2.3364,                0.79831,             0.00019229,             0.00019229,             0.00019229
                      9,                0.62861,                0.74967,                 1.5851,                0.84464,                      1,                 0.8139,                  0.995,                 0.8109,                      1,                 0.8139,                  0.995,                 0.8731,                0.69583,                 0.7828,                 2.0981,                0.80826,             0.00020858,             0.00020858,             0.00020858
                     10,                0.60593,                 0.7642,                  1.217,                0.81883,                      1,                0.97762,                  0.995,                0.77716,                      1,                0.97762,                  0.995,                0.87753,                  0.772,                  0.797,                 1.8614,                0.82142,             0.00022266,             0.00022266,             0.00022266
