                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.59943,                0.61029,                 1.1017,                0.84263,                0.99699,                      1,                  0.995,                0.78336,                0.99699,                      1,                  0.995,                0.86382,                0.77592,                0.81944,                 1.6421,                0.82696,             0.00023455,             0.00023455,             0.00023455
                     12,                 0.6801,                0.71334,                  1.028,                0.86028,                0.99699,                      1,                  0.995,                0.78336,                0.99699,                      1,                  0.995,                0.86382,                0.77592,                0.81944,                 1.6421,                0.82696,             0.00024423,             0.00024423,             0.00024423
                     13,                0.65716,                 0.6995,                 1.5548,                0.84245,                      1,                0.99291,                  0.995,                 0.8246,                      1,                0.99291,                  0.995,                0.87315,                0.70259,                0.79682,                 1.5267,                0.81563,             0.00025172,             0.00025172,             0.00025172
                     14,                0.65924,                0.74443,                 1.6492,                0.85623,                      1,                0.99373,                  0.995,                0.85573,                      1,                0.99373,                  0.995,                0.87998,                0.63639,                0.76639,                 1.5132,                0.80713,               0.000257,               0.000257,               0.000257
                     15,                0.58798,                0.59094,                 1.4968,                0.83332,                      1,                0.99373,                  0.995,                0.85573,                      1,                0.99373,                  0.995,                0.87998,                0.63639,                0.76639,                 1.5132,                0.80713,             0.00026009,             0.00026009,             0.00026009
                     16,                0.63592,                0.67256,                 1.1457,                0.84055,                0.97661,                0.97112,                0.99295,                0.85775,                0.97661,                0.97112,                0.99295,                0.87566,                 0.6095,                 0.7676,                 1.5616,                0.80863,             0.00026097,             0.00026097,             0.00026097
                     17,                0.59012,                0.61456,                 0.9659,                0.84254,                0.97478,                0.89896,                0.99044,                0.86046,                0.97478,                0.89896,                0.99044,                0.87216,                0.59197,                0.78012,                 1.6154,                0.80586,             0.00025965,             0.00025965,             0.00025965
                     18,                0.58502,                0.69587,                  1.133,                0.85098,                0.97478,                0.89896,                0.99044,                0.86046,                0.97478,                0.89896,                0.99044,                0.87216,                0.59197,                0.78012,                 1.6154,                0.80586,             0.00025613,             0.00025613,             0.00025613
                     19,                0.57516,                0.60653,                 1.1554,                0.84184,                0.97379,                0.86414,                0.99045,                0.85576,                0.97379,                0.86414,                0.99045,                0.87875,                0.59349,                0.76205,                 1.6928,                0.80455,             0.00025042,             0.00025042,             0.00025042
                     20,                0.58269,                0.61586,                   1.16,                0.83432,                0.97379,                0.86414,                0.99045,                0.85576,                0.97379,                0.86414,                0.99045,                0.87875,                0.59349,                0.76205,                 1.6928,                0.80455,              0.0002425,              0.0002425,              0.0002425
                     21,                0.54809,                0.64273,                 1.6592,                 0.8291,                0.97324,                0.84578,                0.98788,                0.85727,                0.97324,                0.84578,                0.98788,                0.86802,                 0.5799,                0.71471,                 1.7616,                0.79639,             0.00023238,             0.00023238,             0.00023238
                     22,                0.48228,                0.59331,                 1.6019,                0.80932,                0.97324,                0.84578,                0.98788,                0.85727,                0.97324,                0.84578,                0.98788,                0.86802,                 0.5799,                0.71471,                 1.7616,                0.79639,             0.00022006,             0.00022006,             0.00022006
                     23,                0.53276,                0.61536,                 1.5397,                0.85509,                 0.9693,                0.73448,                0.98307,                0.84448,                 0.9693,                0.73448,                0.98307,                0.87157,                0.55397,                0.69042,                 1.8541,                0.79258,             0.00020554,             0.00020554,             0.00020554
                     24,                0.55846,                0.61657,                  1.849,                0.80151,                 0.9693,                0.73448,                0.98307,                0.84448,                 0.9693,                0.73448,                0.98307,                0.87157,                0.55397,                0.69042,                 1.8541,                0.79258,             0.00018882,             0.00018882,             0.00018882
                     25,                0.59795,                0.72486,                 1.4157,                0.82207,                0.96526,                0.64622,                0.98279,                0.84165,                0.96526,                0.64622,                0.98279,                0.86814,                0.54011,                0.68867,                  1.898,                0.79075,              0.0001699,              0.0001699,              0.0001699
                     26,                0.51955,                0.59773,                 1.1647,                0.81205,                0.96526,                0.64622,                0.98279,                0.84165,                0.96526,                0.64622,                0.98279,                0.86814,                0.54011,                0.68867,                  1.898,                0.79075,             0.00014878,             0.00014878,             0.00014878
                     27,                0.49646,                0.60675,                  1.287,                0.79273,                0.96526,                0.64622,                0.98279,                0.84165,                0.96526,                0.64622,                0.98279,                0.86814,                0.54011,                0.68867,                  1.898,                0.79075,             0.00012546,             0.00012546,             0.00012546
                     28,                0.53424,                0.57354,                 1.3758,                0.81409,                0.96503,                0.64199,                0.98209,                0.83862,                0.96503,                0.64199,                0.98209,                0.87743,                0.53197,                0.68876,                 1.8855,                0.78983,             9.9937e-05,             9.9937e-05,             9.9937e-05
                     29,                0.52542,                0.61304,                 1.1647,                0.81777,                0.96503,                0.64199,                0.98209,                0.83862,                0.96503,                0.64199,                0.98209,                0.87743,                0.53197,                0.68876,                 1.8855,                0.78983,             7.2214e-05,             7.2214e-05,             7.2214e-05
                     30,                0.46475,                0.53082,                 1.3362,                0.80256,                0.96725,                0.68707,                0.97883,                0.85081,                0.96725,                0.68707,                0.97883,                0.87337,                 0.5239,                 0.6897,                 1.8195,                0.78928,             4.2292e-05,             4.2292e-05,             4.2292e-05
