epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1052.9,0.98987,1.27505,0.68986,0.99672,0.97372,1,0.98598,0.67067,0.97372,1,0.98598,0.56268,1.16536,1.53527,0.73272,1.12965,0.000812,0.000812,0.000812
32,1086.4,0.92206,1.22353,0.68192,0.9924,0.97368,1,0.97305,0.68218,0.97368,1,0.97305,0.58834,1.13061,1.58171,0.70902,1.10092,0.0007724,0.0007724,0.0007724
33,1119.8,1.01105,1.3009,0.68502,0.9971,0.97343,1,0.97183,0.68273,0.97343,1,0.97183,0.57554,1.12108,1.54302,0.71216,1.08765,0.0007328,0.0007328,0.0007328
34,1152.99,0.96494,1.24889,0.69479,0.98843,0.97369,1,0.97378,0.68378,0.97369,1,0.97378,0.58391,1.13983,1.53841,0.69646,1.09667,0.0006932,0.0006932,0.0006932
35,1186.28,0.95287,1.21864,0.67415,0.99651,0.9737,1,0.97427,0.66944,0.9737,1,0.97427,0.58588,1.13768,1.53341,0.69682,1.09861,0.0006536,0.0006536,0.0006536
36,1219.55,0.96879,1.24333,0.64352,0.99175,0.97369,1,0.97378,0.6724,0.97369,1,0.97378,0.58078,1.11996,1.53231,0.67207,1.09411,0.000614,0.000614,0.000614
37,1252.93,0.94286,1.18249,0.66178,0.96878,0.97358,1,0.97378,0.66713,0.97358,1,0.97378,0.59559,1.13146,1.48,0.6566,1.09643,0.0005744,0.0005744,0.0005744
38,1286.45,0.96169,1.13825,0.62858,0.9931,0.97402,1,0.97378,0.64496,0.97402,1,0.97378,0.56252,1.173,1.52062,0.67307,1.11059,0.0005348,0.0005348,0.0005348
39,1319.59,0.90653,1.15746,0.61941,0.95138,0.9741,1,0.97305,0.66444,0.9741,1,0.97305,0.58492,1.14922,1.51679,0.68465,1.1,0.0004952,0.0004952,0.0004952
40,1352.78,0.92466,1.12161,0.63398,0.97231,0.97409,1,0.97305,0.6716,0.97409,1,0.97305,0.59388,1.123,1.47115,0.66839,1.09124,0.0004556,0.0004556,0.0004556
41,1385.25,0.90924,1.20652,0.66196,0.99682,0.97379,1,0.97256,0.66115,0.97379,1,0.97256,0.59449,1.11849,1.48021,0.65904,1.08778,0.000416,0.000416,0.000416
42,1417.79,0.89772,1.19705,0.72627,0.97659,0.97333,1,0.97183,0.65545,0.97333,1,0.97183,0.5799,1.12331,1.49867,0.65209,1.0864,0.0003764,0.0003764,0.0003764
43,1450.4,0.9004,1.22419,0.68691,0.96982,0.97345,1,0.97305,0.67894,0.97345,1,0.97305,0.58667,1.10887,1.51981,0.62758,1.07826,0.0003368,0.0003368,0.0003368
44,1483.19,0.89383,1.17518,0.6509,0.99492,0.97382,1,0.97427,0.67983,0.97382,1,0.97427,0.592,1.0963,1.46688,0.62514,1.07419,0.0002972,0.0002972,0.0002972
45,1515.79,0.84765,1.15681,0.60062,0.97225,0.97386,1,0.97427,0.67363,0.97386,1,0.97427,0.58485,1.10315,1.46755,0.63088,1.07769,0.0002576,0.0002576,0.0002576
46,1548.31,0.82831,1.15003,0.61354,0.95406,0.9738,1,0.97305,0.68409,0.9738,1,0.97305,0.59299,1.10189,1.46532,0.63178,1.07613,0.000218,0.000218,0.000218
47,1581.11,0.85451,1.09011,0.62408,0.9403,0.97385,1,0.97427,0.68219,0.97385,1,0.97427,0.57166,1.11255,1.4771,0.62431,1.08193,0.0001784,0.0001784,0.0001784
48,1613.66,0.85349,1.13151,0.60264,0.96994,0.97402,1,0.975,0.67323,0.97402,1,0.975,0.58615,1.121,1.4982,0.62014,1.0848,0.0001388,0.0001388,0.0001388
49,1646.41,0.82837,1.13448,0.61827,0.96193,0.97409,1,0.97378,0.6717,0.97409,1,0.97378,0.59497,1.12398,1.50414,0.61963,1.08486,9.92e-05,9.92e-05,9.92e-05
50,1679.27,0.86883,1.18272,0.6329,0.94384,0.9741,1,0.97378,0.66951,0.9741,1,0.97378,0.5972,1.1209,1.49763,0.61727,1.08274,5.96e-05,5.96e-05,5.96e-05
