epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,287.316,0.37829,0.34914,0.52062,0.83463,0.9756,0.99946,0.99256,0.94482,0.9756,0.99946,0.99256,0.96272,0.33493,0.37101,0.94281,0.75691,0.0009292,0.0009292,0.0009292
32,296.396,0.34906,0.32295,0.5369,0.80861,0.9756,0.99946,0.99256,0.94482,0.9756,0.99946,0.99256,0.96272,0.33493,0.37101,0.94281,0.75691,0.00092815,0.00092815,0.00092815
33,305.081,0.34028,0.30894,0.48756,0.80773,0.96926,1,0.99085,0.93146,0.96926,1,0.99085,0.97263,0.32975,0.3578,0.73481,0.75968,0.00092512,0.00092512,0.00092512
34,313.906,0.31605,0.31404,0.48556,0.8175,0.96926,1,0.99085,0.93146,0.96926,1,0.99085,0.97263,0.32975,0.3578,0.73481,0.75968,0.000911,0.000911,0.000911
35,322.414,0.32916,0.29326,0.48654,0.81801,0.97065,1,0.9889,0.92029,0.97065,1,0.9889,0.97492,0.34791,0.35292,0.55208,0.76462,0.000878,0.000878,0.000878
36,331.124,0.31239,0.29987,0.47553,0.80068,0.96826,1,0.9811,0.9276,0.96826,1,0.9811,0.96463,0.32511,0.364,0.47349,0.76239,0.000845,0.000845,0.000845
37,339.824,0.34857,0.30186,0.48825,0.80315,0.96826,1,0.9811,0.9276,0.96826,1,0.9811,0.96463,0.32511,0.364,0.47349,0.76239,0.000812,0.000812,0.000812
38,348.528,0.32908,0.29551,0.46098,0.79418,0.95665,1,0.97671,0.92258,0.95665,1,0.97671,0.96846,0.3236,0.34638,0.47908,0.76213,0.000779,0.000779,0.000779
39,357.332,0.30449,0.26953,0.50434,0.81036,0.95665,1,0.97671,0.92258,0.95665,1,0.97671,0.96846,0.3236,0.34638,0.47908,0.76213,0.000746,0.000746,0.000746
40,366.191,0.3386,0.32286,0.45742,0.80021,0.95235,1,0.97744,0.94267,0.95235,1,0.97744,0.96395,0.32345,0.34937,0.45991,0.7602,0.000713,0.000713,0.000713
41,375.502,0.29812,0.28212,0.43777,0.78872,0.96262,1,0.97915,0.92464,0.96262,1,0.97915,0.96044,0.31487,0.35787,0.45536,0.75637,0.00068,0.00068,0.00068
42,384.294,0.32472,0.30443,0.43857,0.80545,0.96262,1,0.97915,0.92464,0.96262,1,0.97915,0.96044,0.31487,0.35787,0.45536,0.75637,0.000647,0.000647,0.000647
43,393.339,0.32143,0.28095,0.44146,0.80545,0.97017,1,0.98037,0.94571,0.97017,1,0.98037,0.95454,0.28285,0.35301,0.45541,0.75071,0.000614,0.000614,0.000614
44,402.389,0.31016,0.28299,0.43204,0.80685,0.97017,1,0.98037,0.94571,0.97017,1,0.98037,0.95454,0.28285,0.35301,0.45541,0.75071,0.000581,0.000581,0.000581
45,411.315,0.30579,0.28647,0.43022,0.80642,0.97044,1,0.9811,0.95878,0.97044,1,0.9811,0.95098,0.27535,0.35452,0.47,0.75011,0.000548,0.000548,0.000548
46,420.032,0.29012,0.27643,0.41577,0.78717,0.95206,1,0.98354,0.94988,0.95206,1,0.98354,0.96589,0.27683,0.34238,0.4728,0.75018,0.000515,0.000515,0.000515
47,428.74,0.30674,0.2724,0.44738,0.79738,0.95206,1,0.98354,0.94988,0.95206,1,0.98354,0.96589,0.27683,0.34238,0.4728,0.75018,0.000482,0.000482,0.000482
48,437.903,0.27671,0.29099,0.41769,0.79297,0.9522,1,0.97915,0.95161,0.9522,1,0.97915,0.94744,0.26957,0.35039,0.44626,0.75155,0.000449,0.000449,0.000449
49,446.893,0.28117,0.26971,0.40492,0.78567,0.9522,1,0.97915,0.95161,0.9522,1,0.97915,0.94744,0.26957,0.35039,0.44626,0.75155,0.000416,0.000416,0.000416
50,455.825,0.27876,0.28479,0.43295,0.80049,0.9519,1,0.97793,0.96082,0.9519,1,0.97793,0.95653,0.26162,0.35032,0.42183,0.75158,0.000383,0.000383,0.000383
51,464.724,0.22323,0.26708,0.50983,0.7776,0.95107,1,0.9758,0.95824,0.95107,1,0.9758,0.96355,0.26123,0.34715,0.4183,0.75189,0.00035,0.00035,0.00035
52,473.326,0.244,0.25818,0.49547,0.77273,0.95107,1,0.9758,0.95824,0.95107,1,0.9758,0.96355,0.26123,0.34715,0.4183,0.75189,0.000317,0.000317,0.000317
53,482.021,0.26931,0.26826,0.50826,0.77774,0.95114,1,0.96195,0.94315,0.95114,1,0.96195,0.94535,0.26381,0.34416,0.43594,0.75125,0.000284,0.000284,0.000284
54,490.696,0.23686,0.25612,0.47681,0.77499,0.95114,1,0.96195,0.94315,0.95114,1,0.96195,0.94535,0.26381,0.34416,0.43594,0.75125,0.000251,0.000251,0.000251
55,499.633,0.24723,0.25744,0.49611,0.79023,0.9511,1,0.96053,0.93885,0.9511,1,0.96053,0.94239,0.26347,0.34062,0.45375,0.75105,0.000218,0.000218,0.000218
56,508.467,0.25091,0.24853,0.48635,0.79888,0.95103,1,0.96053,0.95492,0.95103,1,0.96053,0.94438,0.26014,0.3376,0.46199,0.75082,0.000185,0.000185,0.000185
57,516.991,0.23565,0.25391,0.49534,0.78137,0.95103,1,0.96053,0.95492,0.95103,1,0.96053,0.94438,0.26014,0.3376,0.46199,0.75082,0.000152,0.000152,0.000152
58,525.632,0.2445,0.2454,0.47933,0.78172,0.95104,1,0.9627,0.9571,0.95104,1,0.9627,0.9467,0.2525,0.33613,0.46085,0.75001,0.000119,0.000119,0.000119
59,534.147,0.21905,0.24411,0.4517,0.77595,0.95104,1,0.9627,0.9571,0.95104,1,0.9627,0.9467,0.2525,0.33613,0.46085,0.75001,8.6e-05,8.6e-05,8.6e-05
60,542.637,0.23205,0.23855,0.48875,0.78384,0.95104,1,0.96333,0.95777,0.95104,1,0.96333,0.94668,0.24577,0.33544,0.45516,0.74901,5.3e-05,5.3e-05,5.3e-05
